Source System,MDM Person ID,Source System ID,First Name,Middle Name,Last Name,Suffix,Previous Last Name,Gender,Nationality,Birthdate,Sport Code,Sport Code Conformed,Phone Number,Email Address,City,State,Zipcode,Country,Active
MDM,806302,,Hayley,,Brousseau,,,,USA,1995-08-24 00:00:00,SHO,SHO,5299568135,hbrousseau@sbcglobal.net,Tulsa,OK,74133,USA,1
Training Center,806302,A1202010-A420-DF11-B3AA-001A648ADFAC,Hayley,,Brousseau,,,,USA,1995-08-24 00:00:00,SHO,SHO,5299568135,hbrousseau@sbcglobal.net,Tulsa,OK,74133,USA,1
Athlete Historical,806760,A4DF5200-5CF7-E311-93FC-005056AD437C,AMANDA,Jo,SMOCK,,Thomas,Female,,1982-07-27 00:00:00,ATH,ATH,5639292772,asmock@gmail.com,Minneapolis,MN,55410,USA,1
EMR,806760,1657439875006190,AMANDA,,SMOCK,,,Female,,1982-07-27 00:00:00,ATH,ATH,,asmock@gmail.com,,,,,1
Competition Results,806760,943412,AMANDA,,SMOCK,,,Female,USA,1982-07-27 00:00:00,ATH,ATH,,,,,,,1
MDM,806760,,AMANDA,Jo,SMOCK,,SMOCK,Female,USA,1982-07-27 00:00:00,ATH,ATH,5639292772,asmock@gmail.com,Minneapolis,MN,55410,USAA (the),1
Athlete CRM,806760,0033h00001AckieAAB,AMANDA,Jo,SMOCK,,SMOCK,Female,,1982-07-27 00:00:00,ATH,ATH,5639292772,asmock@gmail.com,Minneapolis,MN,55410,USAA (the),1
Training Center,806760,EB73A3B5-6D73-E111-A766-005056AD000E,AMANDA,Jo,SMOCK,,,,USA,1982-07-27 00:00:00,ATH,ATH,5639292772,asmock@gmail.com,Minneapolis,MN,55410,USA,1
Finance,806760,205872,Amarylis,JO,Smolders,,,,,,ATH,ATH,5639292772,asmock@gmail.com,MINNEAPOLIS,MN,55417,USA,1
MDM,806907,,Abbey,,Coppersmith-Tubbs,,,,,1971-09-21 00:00:00,SHO,SHO,8143790446,mcoppersmithtubbs@yahoo.com,Annandale,VA,22003,USA,1
Training Center,806907,70CFB7CF-4931-E511-B642-005056AD000E,Abbey,,Coppersmith-Tubbs,,,,,1971-09-21 00:00:00,SHO,SHO,8143790446,mcoppersmithtubbs@yahoo.com,Annandale,VA,22003,USA,1
MDM,807204,,JESSICA,,Hartinger,,,,France,1977-10-27 00:00:00,TRI,TRI,,jhartinger@mako-wetsuits.com,Castelnam Lelez,Heramit,34170,,1
Training Center,807204,47B8DB09-B989-E211-92C7-005056AD000E,JESSICA,,Hartinger,,,,France,1977-10-27 00:00:00,TRI,TRI,,jhartinger@mako-wetsuits.com,Castelnam Lelez,Heramit,34170,,1
Athlete Historical,807847,22315B50-63F7-E311-93FC-005056AD1DA1,JONATHAN,Andrew,Gardenkrans,,,Male,,1986-12-14 00:00:00,SSK,SSK,3928160491,jgardenkrans@gmail.com,Midvale,UT,84047,USA,1
Athlete Education,807847,0034600000wFGOFAA4,JONATHAN,,Gardenkrans,,,Male,,1986-12-14 00:00:00,SSK,SSK,3928160491,jgardenkrans@gmail.com,Park City,UT,84068,USA,1
EMR,807847,1683532780006200,JONATHAN,,Gardenkrans,,,Male,,1986-12-14 00:00:00,SSK,SSK,3928160491,jgardenkrans@gmail.com,Salt Lake City,,84105,USA,1
Competition Results,807847,671919,JONATHAN,,Gardenkrans,,,Male,USA,1986-12-14 00:00:00,RSP,RSP,,,,,,,1
MDM,807847,,JONATHAN,Andrew,Gardenkrans,,Gardenkrans,Male,USA,1986-12-14 00:00:00,SSK,SSK,3928160491,jgardenkrans@gmail.com,Houston,TX,84047,USA,1
Athlete CRM,807847,0033h00001AclbsAAB,JONATHAN,Andrew,Gardenkrans,,Gardenkrans,Male,,1986-12-14 00:00:00,SSK,SSK,3928160491,jgardenkrans@gmail.com,Midvale,UT,84047,USAA (the),1
Training Center,807847,08764DFD-5F77-E011-8145-005056AD000E,JONATHAN,,Gardenkrans,,,,USA,1986-12-14 00:00:00,SSK,SSK,3928160491,jgardenkrans@gmail.com,Houston,TX,77079,USA,1
Training Center,1003959,86A95C4A-A7E5-E511-ADF7-005056AD000E,Ciel,,Kyprianou,,,,,,WGT,WGT,,,,,,,1
Athlete Historical,809086,ED21C8D6-4BA3-E411-9408-005056AD7D3E,Jan,LaRie,Martinez,,,Female,USA,1983-05-18 00:00:00,,,8204603724,jan.martinezzusopc.org,Colorado Springs,CO,80911,USA,1
EMR,809086,1938761715452450,Jan,COVID,Martinez,,,Female,,1983-05-18 00:00:00,COV,,8204603724,,,,,,1
MDM,1003974,,Tom,,Hicks,,,,,,CYC,CYC,,,,,,,1
Training Center,1003974,A9DBC98E-A8E5-E511-ADF7-005056AD000E,Tom,,Hicks,,,,,,CYC,CYC,,,,,,,1
Training Center,809086,88B4B427-7F25-DF11-B3AA-001A648ADFAC,Jan,,Martinez,,,,USA,1983-05-18 00:00:00,PAR,ARY_P,8204603724,jan.martinezzusoc.org,Colorado Springs,CO,80911,USA,1
Athlete Historical,809126,A8FE5D1F-27AE-E411-940B-005056AD1287,LT,Lucille,Dieguez,,,Female,,1991-03-16 00:00:00,FEN,FEN,4586065015,ldieguezzmsn.com,New York,NY,10027,USA,1
MDM,809126,,LT,Lucille,Dieguez,,Dieguez,Female,USA,1991-03-16 00:00:00,FEN_P,FEN_P,4586065015,ldieguezzmsn.com,New York,NY,10027,USAA (the),1
Athlete CRM,809126,0033h00001Act1HAAR,LT,Lucille,Dieguez,,Dieguez,Female,,1991-03-16 00:00:00,FEN_P,FEN_P,4586065015,ldieguezzmsn.com,New York,NY,10027,USAA (the),1
Training Center,809126,69478DA8-2B95-E411-840E-005056AD000E,LT,,Dieguez,,,,USA,1991-03-15 00:00:00,FEN,FEN,4586065015,ldieguezzmsn.com,New York,NY,10027,USA,1
EMR,809487,1673795181106260,Kendrick,,Johnston,,,M,,1992-03-27 00:00:00,SKI,SKI,7194435781,kendrick.j-hnston@uta.org,Park City,UT,84098,,1
Competition Results,809487,1134715,Kendrick,,Johnston,,,M,USA,1992-03-27 00:00:00,SKI,SKI,,,,,,,1
MDM,809487,,Kendrick,Robert,Johnston,,,M,USA,1992-03-27 00:00:00,SKI,SKI,7194435781,kendrick.j-hnston@uta.org,Oregon,WI,53575,,1
Training Center,809487,C718F2E3-4299-E011-8145-005056AD000E,Kendrick,Robert,Johnston,,,,USA,1992-03-27 00:00:00,SKI,SKI,7194435781,kendrick.johnston@utah.org,Oregon,WI,53575,USA,1
MDM,810152,,Dawn,John,BARTLETT,,,,USA,1980-03-16 00:00:00,WRE,WRE,8203212520,dbartlett@gmail.com,Colorado Springs,CO,80924,USA,1
Training Center,810152,D7BBE9E1-A320-DF11-B3AA-001A648ADFAC,Dawn,John,BARTLETT,,,,USA,1980-03-16 00:00:00,WRE,WRE,8203212520,dbartlett@gmail.com,Colorado Springs,CO,80924,USA,1
Athlete Historical,810357,F10798FF-49A3-E411-9408-005056AD7D3E,Dawn,Michael,McDaniel,,,M,,1966-01-12 00:00:00,,,8204429072,dawn.mcdaniel@usoc.org,Colorado Springs,CO,80920,USA,1
Athlete Historical,810357,F10798FF-49A3-E411-9408-005056AD7D3E,Dawn,Michael,McDaniel,,,M,,1966-01-12 00:00:00,,,8204429072,dawn.mcdaniel@usoc.org,Colorado Springs,CO,80920,USA,1
Athlete CRM,810357,0033h00001AcdNlAAJ,Dawn,Michael,McDaniel,,McDaniel,M,,1966-01-12 00:00:00,,,8204429072,dawn.mcdaniel@usoc.org,Colorado Springs,CO,80920,USAA (the),1
Athlete CRM,810357,0033h00001AcdNlAAJ,Dawn,Michael,McDaniel,,McDaniel,M,,1966-01-12 00:00:00,,,8204429072,dawn.mcdaniel@usoc.org,Colorado Springs,CO,80920,USAA (the),1
Competition Results,810770,1042989,Haley,,Lomong,,,Female,USA,1994-04-12 00:00:00,WGT,WGT,,,,,,,1
MDM,810770,,Hailey,,Lomong,,,Female,USA,1994-04-12 00:00:00,WGT,WGT,6418336617,hailey.lomong@gmail.com,Redding,CA,96003,USA,1
Training Center,810770,2138F073-2549-E211-894E-005056AD000E,Hailey,,Lomong,,,,USA,1994-04-12 00:00:00,WGT,WGT,6418336617,hailey.lomong@gmail.com,Redding,CA,96003,USA,1
Athlete Historical,811920,3AD59639-53F7-E311-93FC-005056AD437C,JONATHAN,,KUCK,,,M,,1990-03-14 00:00:00,SSK,SSK,3287509040,j-uc@outlook.com,Champaign,IL,61821-4422,USA,1
EMR,811920,1683456511006250,JONATHAN,,KUCK,,,M,,1990-03-14 00:00:00,SSK,SSK,3287509040,j-uc@outlook.com,Champaign,IL,61821,USA,1
Competition Results,811920,711765,JONATHAN,,KUCK,,,M,USA,1990-03-14 00:00:00,SSK,SSK,,,,,,,1
MDM,811920,,JONATHAN,D,KUCK,,KUCK,M,USA,1990-03-14 00:00:00,SSK,SSK,3287509040,j-uc@outlook.com,Champaign,IL,61821,USA,1
Athlete CRM,811920,0033h00001AclcfAAB,JONATHAN,,KUCK,,KUCK,M,,1990-03-14 00:00:00,SSK,SSK,3287509040,j-uc@outlook.com,,,,United States of America (the),1
Training Center,811920,0E4101B8-A47A-E011-8145-005056AD000E,JONATHAN,,KUCK,,,,USA,1990-03-14 00:00:00,SSK,SSK,3287509040,jkuck@gmail.com,Champaign,IL,61821,USA,1
Finance,811920,203345,Jonathon,D,Kudlicka,,,,,,SSK,SSK,,,CHAMPAIGN,IL,61821,USA,1
MDM,812437,,K C,Paul,Wachsmuth,,,,USA,1994-03-26 00:00:00,BOB,BOB,6295317806,kwachsmuth@yahoo.com,Lake Placid,NY,12946,USA,1
Training Center,812437,3FB9B8C1-EB3D-E011-8143-005056AD000E,K C,Paul,Wachsmuth,,,,USA,1994-03-26 00:00:00,BOB,BOB,6295317806,kwachsmuth@yahoo.com,Lake Placid,NY,12946,USA,1
MDM,812508,,Ezra,,Engel,,,,USA,2004-09-13 00:00:00,GYM,GYM,9124830488,bengel@yahoo.com,Springville,UT,84663,USA,1
Training Center,812508,C8C7C177-5384-E311-BF71-005056AD000E,Ezra,,Engel,,,,USA,2004-09-13 00:00:00,GYM,GYM,9124830488,bengel@yahoo.com,Springville,UT,84663,USA,1
MDM,813831,,Lindsay,,Stief,,,,USA,1998-06-03 00:00:00,WGT,WGT,8819371283,lstief@gmail.com,Duluth,GA,30096,USA,1
Training Center,813831,FB7B33FD-D174-E411-9730-005056AD000E,Lindsay,,Stief,,,,USA,1998-06-03 00:00:00,WGT,WGT,8819371283,lstief@gmail.com,Duluth,GA,30096,USA,1
Athlete Historical,814405,7FF41BC5-1FE6-E511-9414-005056AD26A4,Ke'Nyia,Brette,Obrien,,,Female,,1988-05-05 00:00:00,SKI,SKI,6218141994,kobrien@gmail.com,Oakland,CA,94610,USA,1
Athlete Education,814405,0034600001YguHHAAZ,Kaelan,,Obrien,,,Female,,1988-05-05 00:00:00,SKI,SKI,,kaelan.obrien@gs.com,,,,,1
EMR,814405,1673535376706340,Ke'Nyia,,Obrien,,,Female,,1988-05-05 00:00:00,SKI,SKI,6218141994,kenyia.obrien@gmail.com,Piedmont,CA,94611,,1
Competition Results,814405,764398,Ke'Nyia,,Obrien,,,Female,USA,1988-05-05 00:00:00,SKI,SKI,,,,,,,1
MDM,814405,,Kaelan,Brette,Obrien,,Obrien,Female,USA,1988-05-05 00:00:00,SKI,SKI,6218141994,kobrien@gmail.com,Oakland,CA,94610,USA,1
Athlete CRM,814405,0033h00001AclOkAAJ,Ke'Nyia,Brette,Obrien,,Obrien,Female,,1988-05-05 00:00:00,SBX_P,SBX_P,6218141994,kobrien@gmail.com,Oakland,CA,94610,USAA (the),1
Training Center,814405,DA526D8E-9C30-DF11-9857-001A648ADFAC,Ke'Nyia,Brette,Obrien,,,,USA,1988-05-04 00:00:00,SKI,SKI,6218141994,kobrien@gmail.com,Piedmont,CA,94611,USA,1
Training Center,1003979,BF95297F-AAE5-E511-ADF7-005056AD000E,Niauni,,Romanov,,,,,,CYC,CYC,,,,,,,1
Athlete Historical,814908,E49D249E-3A0B-E611-941F-005056AD565D,Ellen,Frances,Ebeling,,,W,USA,1997-03-28 00:00:00,SWI,SWI,8258994607,eebeling@alumni.stanford.org,Palo Alto,CA,94303,USA,1
